17,18,19,20,21,busted,blackjack,sum
2 0.13981 0.134908 0.129656 0.124027 0.117994 0.353607 0 1
3 0.135034 0.130483 0.125581 0.120329 0.1147 0.373873 0 1
4 0.13049 0.125938 0.121387 0.116485 0.111233 0.394467 0 1
5 0.122252 0.122252 0.1177 0.113148 0.108246 0.416402 0 1
6 0.165439 0.106267 0.106267 0.101715 0.0971634 0.423149 0 1
7 0.368564 0.137798 0.0786257 0.0786257 0.074074 0.262313 0 1
8 0.128567 0.359334 0.128567 0.0693952 0.0693952 0.244741 0 1
9 0.119996 0.119996 0.350763 0.119996 0.060824 0.228425 0 1
10 0.111425 0.111425 0.111425 0.342192 0.0345015 0.212109 0.0769233 1
A 0.130789 0.130789 0.130789 0.130789 0.0538662 0.115286 0.30769 1


10 0.151009 0.151009 0.151009 0.151009 0.151009 0.244956 0 1
11 0.145501 0.145501 0.145501 0.145501 0.145501 0.272493 0 1
12 0.14001 0.14001 0.14001 0.14001 0.14001 0.299949 0 1
13 0.134561 0.134561 0.134561 0.134561 0.134561 0.327194 0 1
14 0.129176 0.129176 0.129176 0.129176 0.129176 0.354119 0 1
15 0.111425 0.111425 0.111425 0.111425 0.342192 0.212109 0 1
16 0.103466 0.103466 0.103466 0.103466 0.103466 0.48267 0 1
17 0.0960755 0.0960755 0.0960755 0.0960755 0.0960755 0.519623 0 1
18 0.0892129 0.0892129 0.0892129 0.0892129 0.0892129 0.553935 0 1
19 0.0828405 0.0828405 0.0828405 0.0828405 0.0828405 0.585797 0 1
20 0.0769233 0.0769233 0.0769233 0.0769233 0.0769233 0.615383 0 1
21 1 0 0 0 0 0 0 1
22 0 1 0 0 0 0 0 1
23 0 0 1 0 0 0 0 1
24 0 0 0 1 0 0 0 1
25 0 0 0 0 1 0 0 1
26 0 0 0 0 0 1 0 1
27 0 0 0 0 0 0 1 1

DealerCard:A
      Stand           Hit        max(s,h)       double      max(s,h,d)          split
     0.439511      0.202983      0.439511      0.405966      0.439511             0            19 S
     0.199559       0.14761      0.199559      0.295221      0.295221             0            18 D
   -0.0449441     0.0911871     0.0911871      0.182374      0.182374             0            17 D
    -0.167196     0.0734472     0.0734472      0.125951      0.125951             0            16 D
    -0.167196     0.0919583     0.0919583      0.125951      0.125951             0            15 D
    -0.167196      0.111893      0.111893      0.125951      0.125951             0            14 D
    -0.167196      0.133362      0.133362      0.125951      0.133362             0            13 H
    -0.167196      0.256255      0.256255      0.512511      0.512511             0            10 D
    -0.167196      0.158029      0.158029      0.243051      0.243051             0             9 D
    -0.167196     0.0708015     0.0708015    0.00344987     0.0708015             0             8 H
    -0.167196   -0.00727424   -0.00727424     -0.202736   -0.00727424             0             7 H
    -0.167196    -0.0349186    -0.0349186     -0.315584    -0.0349186             0             6 H
    -0.167196    -0.0239816    -0.0239816     -0.334392    -0.0239816             0             5 H
    -0.167196    -0.0123824    -0.0123824     -0.334392    -0.0123824             0             4 H
    -0.167196   0.000167555   0.000167555     -0.334392   0.000167555             0             3 H
    -0.167196     0.0137277     0.0137277     -0.334392     0.0137277             0             2 H
    -0.167196      0.125852      0.125852     -0.334392      0.125852             0             1 H
     0.670359      -0.85448      0.670359      -1.70896      0.670359    -0.0967404            20 S
     0.199559     -0.615258      0.199559      -1.23052      0.199559       0.39312            18 P
    -0.167196     -0.449518     -0.167196     -0.899037     -0.167196      0.300222            16 P
    -0.167196     -0.321394     -0.167196     -0.642788     -0.167196      0.148531            14 P
    -0.167196      -0.19327     -0.167196      -0.38654     -0.167196     0.0823758            12 P
    -0.167196      0.256255      0.256255      0.512511      0.512511    -0.0223897            10 D
    -0.167196     0.0708015     0.0708015    0.00344987     0.0708015     0.0819718             8 P
    -0.167196    -0.0349186    -0.0349186     -0.315584    -0.0349186      0.127233             6 P
    -0.167196    -0.0123824    -0.0123824     -0.334392    -0.0123824      0.152631             4 P
    -0.167196      -0.19327     -0.167196      -0.38654     -0.167196             0            12 S



DealerCard:6
     0.902837            -1      0.902837            -2      0.902837             0            21 S
     0.703958     -0.853627      0.703958      -1.70725      0.703958             0            20 S
     0.495976     -0.722553      0.495976      -1.44511      0.495976             0            19 S
     0.283442     -0.607478      0.283442      -1.21496      0.283442             0            18 S
    0.0117367     -0.508751     0.0117367       -1.0175     0.0117367             0            17 S
    -0.153702     -0.430925     -0.153702      -0.86185     -0.153702             0            16 S
    -0.153702     -0.365825     -0.153702      -0.73165     -0.153702             0            15 S
    -0.153702     -0.300725     -0.153702      -0.60145     -0.153702             0            14 S
    -0.153702     -0.235625     -0.153702      -0.47125     -0.153702             0            13 S
    -0.153702     -0.170525     -0.153702      -0.34105     -0.153702             0            12 S
    -0.153702      0.333686      0.333686      0.667373      0.667373             0            11 D
     0.902837      0.268586      0.902837      0.537173      0.902837             0            21 S
     0.703958      0.287792      0.703958      0.575584      0.703958             0            20 S
     0.495976      0.239797      0.495976      0.479593      0.495976             0            19 S
     0.283442      0.190751      0.283442      0.381502      0.381502             0            18 D
    0.0117367       0.12805       0.12805      0.256101      0.256101             0            17 D
    -0.153702     0.0988198     0.0988198      0.179745      0.179745             0            16 D
    -0.153702      0.118245      0.118245      0.179745      0.179745             0            15 D
    -0.153702      0.139164      0.139164      0.179745      0.179745             0            14 D
    -0.153702      0.161692      0.161692      0.179745      0.179745             0            13 D
    -0.153702      0.287792      0.287792      0.575584      0.575584             0            10 D
    -0.153702      0.196016      0.196016      0.317048      0.317048             0             9 D
    -0.153702      0.114957      0.114957     0.0870087      0.114957             0             8 H
    -0.153702     0.0291825     0.0291825     -0.138343     0.0291825             0             7 H
    -0.153702    -0.0130084    -0.0130084     -0.281952    -0.0130084             0             6 H
    -0.153702   -0.00118885   -0.00118885     -0.307404   -0.00118885             0             5 H
    -0.153702      0.011128      0.011128     -0.307404      0.011128             0             4 H
    -0.153702      0.024469      0.024469     -0.307404      0.024469             0             3 H
    -0.153702     0.0388812     0.0388812     -0.307404     0.0388812             0             2 H
    -0.153702      0.152622      0.152622     -0.307404      0.152622             0             1 H
     0.703958     -0.853627      0.703958      -1.70725      0.703958    0.00905762            20 S
     0.283442     -0.607478      0.283442      -1.21496      0.283442      0.472445            18 P
    -0.153702     -0.430925     -0.153702      -0.86185     -0.153702      0.412659            16 P
    -0.153702     -0.300725     -0.153702      -0.60145     -0.153702      0.249754            14 P
    -0.153702     -0.170525     -0.153702      -0.34105     -0.153702      0.155483            12 P
    -0.153702      0.287792      0.287792      0.575584      0.575584     0.0422542            10 D
    -0.153702      0.114957      0.114957     0.0870087      0.114957      0.151586             8 P
    -0.153702    -0.0130084    -0.0130084     -0.281952    -0.0130084      0.202582             6 P
    -0.153702      0.011128      0.011128     -0.307404      0.011128      0.228163             4 P
    -0.153702     -0.170525     -0.153702      -0.34105     -0.153702             0            12 S



DealerCard:7
     0.925926            -1      0.925926            -2      0.925926             0            21 S
     0.773226     -0.851851      0.773226       -1.7037      0.773226             0            20 S
     0.615975     -0.715449      0.615975       -1.4309      0.615975             0            19 S
     0.399552     -0.591143      0.399552      -1.18229      0.399552             0            18 S
     -0.10681     -0.483485      -0.10681     -0.966969      -0.10681             0            17 S
    -0.475375     -0.414777     -0.414777     -0.829555     -0.414777             0            16 H
    -0.475375      -0.36976      -0.36976     -0.748843      -0.36976             0            15 H
    -0.475375      -0.32128      -0.32128     -0.668131      -0.32128             0            14 H
    -0.475375     -0.269071     -0.269071     -0.587419     -0.269071             0            13 H
    -0.475375     -0.212845     -0.212845     -0.506707     -0.212845             0            12 H
    -0.475375      0.292145      0.292145      0.462884      0.462884             0            11 D
     0.925926      0.231595      0.925926      0.382172      0.925926             0            21 S
     0.773226      0.256907      0.773226      0.392408      0.773226             0            20 S
     0.615975      0.220619      0.615975      0.319831      0.615975             0            19 S
     0.399552      0.170675      0.399552      0.219944      0.399552             0            18 S
     -0.10681      0.053824      0.053824    -0.0137588      0.053824             0            17 H
    -0.475375   -0.00488804   -0.00488804     -0.183863   -0.00488804             0            16 H
    -0.475375     0.0370305     0.0370305     -0.183863     0.0370305             0            15 H
    -0.475375     0.0795098     0.0795098     -0.183863     0.0795098             0            14 H
    -0.475375      0.122388      0.122388     -0.183863      0.122388             0            13 H
    -0.475375      0.256907      0.256907      0.392408      0.392408             0            10 D
    -0.475375      0.171866      0.171866      0.104245      0.171866             0             9 H
    -0.475375     0.0822059     0.0822059     -0.187734     0.0822059             0             8 H
    -0.475375    -0.0688079    -0.0688079     -0.589338    -0.0688079             0             7 H
    -0.475375     -0.151931     -0.151931     -0.894047     -0.151931             0             6 H
    -0.475375     -0.119446     -0.119446     -0.950749     -0.119446             0             5 H
    -0.475375    -0.0882777    -0.0882777     -0.950749    -0.0882777             0             4 H
    -0.475375    -0.0574361    -0.0574361     -0.950749    -0.0574361             0             3 H
    -0.475375    -0.0272556    -0.0272556     -0.950749    -0.0272556             0             2 H
    -0.475375     0.0918194     0.0918194     -0.950749     0.0918194             0             1 H
     0.773226     -0.851851      0.773226       -1.7037      0.773226     -0.271604            20 S
     0.399552     -0.591143      0.399552      -1.18229      0.399552      0.364627            18 S
    -0.475375     -0.414777     -0.414777     -0.829555     -0.414777      0.325399            16 P
